name,gender,gender_probability,age,age_group,country_id,country_name,country_probability
Stage4B500k-2026-05-05T20-00-42Z-74,female,0.74,38,adult,GH,Ghana,0.11
Stage4B500k-2026-05-05T20-00-42Z-75,male,0.75,39,adult,KE,Kenya,0.12
Stage4B500k-2026-05-05T20-00-42Z-76,female,0.76,40,adult,ZA,South Africa,0.13
Stage4B500k-2026-05-05T20-00-42Z-77,male,0.77,41,adult,UG,Uganda,0.14
Stage4B500k-2026-05-05T20-00-42Z-78,female,0.78,42,adult,TZ,Tanzania,0.15
Stage4B500k-2026-05-05T20-00-42Z-79,male,0.79,43,adult,SN,Senegal,0.16
Stage4B500k-2026-05-05T20-00-42Z-80,female,0.80,44,adult,CM,Cameroon,0.17
Stage4B500k-2026-05-05T20-00-42Z-81,male,0.81,45,adult,NG,Nigeria,0.18
Stage4B500k-2026-05-05T20-00-42Z-82,female,0.82,46,adult,GH,Ghana,0.19
Stage4B500k-2026-05-05T20-00-42Z-83,male,0.83,47,adult,KE,Kenya,0.20
Stage4B500k-2026-05-05T20-00-42Z-84,female,0.84,48,adult,ZA,South Africa,0.21
Stage4B500k-2026-05-05T20-00-42Z-85,male,0.85,49,adult,UG,Uganda,0.22
Stage4B500k-2026-05-05T20-00-42Z-86,female,0.86,50,adult,TZ,Tanzania,0.23
Stage4B500k-2026-05-05T20-00-42Z-87,male,0.87,51,adult,SN,Senegal,0.24
Stage4B500k-2026-05-05T20-00-42Z-88,female,0.88,52,adult,CM,Cameroon,0.25
Stage4B500k-2026-05-05T20-00-42Z-89,male,0.89,53,adult,NG,Nigeria,0.26
Stage4B500k-2026-05-05T20-00-42Z-90,female,0.90,54,adult,GH,Ghana,0.27
Stage4B500k-2026-05-05T20-00-42Z-91,male,0.91,55,adult,KE,Kenya,0.28
Stage4B500k-2026-05-05T20-00-42Z-92,female,0.92,56,adult,ZA,South Africa,0.29
Stage4B500k-2026-05-05T20-00-42Z-93,male,0.93,57,adult,UG,Uganda,0.30
Stage4B500k-2026-05-05T20-00-42Z-94,female,0.94,58,adult,TZ,Tanzania,0.31
Stage4B500k-2026-05-05T20-00-42Z-95,male,0.95,59,adult,SN,Senegal,0.32
Stage4B500k-2026-05-05T20-00-42Z-96,female,0.96,60,adult,CM,Cameroon,0.33
Stage4B500k-2026-05-05T20-00-42Z-97,male,0.97,61,adult,NG,Nigeria,0.34
Stage4B500k-2026-05-05T20-00-42Z-98,female,0.98,62,adult,GH,Ghana,0.35
Stage4B500k-2026-05-05T20-00-42Z-99,male,0.99,63,adult,KE,Kenya,0.36
Stage4B500k-2026-05-05T20-00-42Z-100,female,1.00,64,adult,ZA,South Africa,0.37
Stage4B500k-2026-05-05T20-00-42Z-101,male,0.01,65,adult,UG,Uganda,0.38
Stage4B500k-2026-05-05T20-00-42Z-102,female,0.02,66,adult,TZ,Tanzania,0.39
Stage4B500k-2026-05-05T20-00-42Z-103,male,0.03,67,adult,SN,Senegal,0.40
Stage4B500k-2026-05-05T20-00-42Z-104,female,0.04,68,adult,CM,Cameroon,0.41
Stage4B500k-2026-05-05T20-00-42Z-105,male,0.05,69,adult,NG,Nigeria,0.42
Stage4B500k-2026-05-05T20-00-42Z-106,female,0.06,70,adult,GH,Ghana,0.43
Stage4B500k-2026-05-05T20-00-42Z-107,male,0.07,18,adult,KE,Kenya,0.44
Stage4B500k-2026-05-05T20-00-42Z-108,female,0.08,19,adult,ZA,South Africa,0.45
Stage4B500k-2026-05-05T20-00-42Z-109,male,0.09,20,adult,UG,Uganda,0.46
Stage4B500k-2026-05-05T20-00-42Z-110,female,0.10,21,adult,TZ,Tanzania,0.47
Stage4B500k-2026-05-05T20-00-42Z-111,male,0.11,22,adult,SN,Senegal,0.48
Stage4B500k-2026-05-05T20-00-42Z-112,female,0.12,23,adult,CM,Cameroon,0.49
Stage4B500k-2026-05-05T20-00-42Z-113,male,0.13,24,adult,NG,Nigeria,0.50
Stage4B500k-2026-05-05T20-00-42Z-114,female,0.14,25,adult,GH,Ghana,0.51
Stage4B500k-2026-05-05T20-00-42Z-115,male,0.15,26,adult,KE,Kenya,0.52
Stage4B500k-2026-05-05T20-00-42Z-116,female,0.16,27,adult,ZA,South Africa,0.53
Stage4B500k-2026-05-05T20-00-42Z-117,male,0.17,28,adult,UG,Uganda,0.54
Stage4B500k-2026-05-05T20-00-42Z-118,female,0.18,29,adult,TZ,Tanzania,0.55
Stage4B500k-2026-05-05T20-00-42Z-119,male,0.19,30,adult,SN,Senegal,0.56
Stage4B500k-2026-05-05T20-00-42Z-120,female,0.20,31,adult,CM,Cameroon,0.57
Stage4B500k-2026-05-05T20-00-42Z-121,male,0.21,32,adult,NG,Nigeria,0.58
Stage4B500k-2026-05-05T20-00-42Z-122,female,0.22,33,adult,GH,Ghana,0.59
Stage4B500k-2026-05-05T20-00-42Z-123,male,0.23,34,adult,KE,Kenya,0.60
Stage4B500k-2026-05-05T20-00-42Z-124,female,0.24,35,adult,ZA,South Africa,0.61
Stage4B500k-2026-05-05T20-00-42Z-125,male,0.25,36,adult,UG,Uganda,0.62
Stage4B500k-2026-05-05T20-00-42Z-126,female,0.26,37,adult,TZ,Tanzania,0.63
Stage4B500k-2026-05-05T20-00-42Z-127,male,0.27,38,adult,SN,Senegal,0.64
Stage4B500k-2026-05-05T20-00-42Z-128,female,0.28,39,adult,CM,Cameroon,0.65
Stage4B500k-2026-05-05T20-00-42Z-129,male,0.29,40,adult,NG,Nigeria,0.66
Stage4B500k-2026-05-05T20-00-42Z-130,female,0.30,41,adult,GH,Ghana,0.67
Stage4B500k-2026-05-05T20-00-42Z-131,male,0.31,42,adult,KE,Kenya,0.68
Stage4B500k-2026-05-05T20-00-42Z-132,female,0.32,43,adult,ZA,South Africa,0.69
Stage4B500k-2026-05-05T20-00-42Z-133,male,0.33,44,adult,UG,Uganda,0.70
Stage4B500k-2026-05-05T20-00-42Z-134,female,0.34,45,adult,TZ,Tanzania,0.71
Stage4B500k-2026-05-05T20-00-42Z-135,male,0.35,46,adult,SN,Senegal,0.72
Stage4B500k-2026-05-05T20-00-42Z-136,female,0.36,47,adult,CM,Cameroon,0.73
Stage4B500k-2026-05-05T20-00-42Z-137,male,0.37,48,adult,NG,Nigeria,0.74
Stage4B500k-2026-05-05T20-00-42Z-138,female,0.38,49,adult,GH,Ghana,0.75
Stage4B500k-2026-05-05T20-00-42Z-139,male,0.39,50,adult,KE,Kenya,0.76
Stage4B500k-2026-05-05T20-00-42Z-140,female,0.40,51,adult,ZA,South Africa,0.77
Stage4B500k-2026-05-05T20-00-42Z-141,male,0.41,52,adult,UG,Uganda,0.78
Stage4B500k-2026-05-05T20-00-42Z-142,female,0.42,53,adult,TZ,Tanzania,0.79
Stage4B500k-2026-05-05T20-00-42Z-143,male,0.43,54,adult,SN,Senegal,0.80
Stage4B500k-2026-05-05T20-00-42Z-144,female,0.44,55,adult,CM,Cameroon,0.81
Stage4B500k-2026-05-05T20-00-42Z-145,male,0.45,56,adult,NG,Nigeria,0.82
Stage4B500k-2026-05-05T20-00-42Z-146,female,0.46,57,adult,GH,Ghana,0.83
Stage4B500k-2026-05-05T20-00-42Z-147,male,0.47,58,adult,KE,Kenya,0.84
Stage4B500k-2026-05-05T20-00-42Z-148,female,0.48,59,adult,ZA,South Africa,0.85
Stage4B500k-2026-05-05T20-00-42Z-149,male,0.49,60,adult,UG,Uganda,0.86
Stage4B500k-2026-05-05T20-00-42Z-150,female,0.50,61,adult,TZ,Tanzania,0.87
Stage4B500k-2026-05-05T20-00-42Z-151,male,0.51,62,adult,SN,Senegal,0.88
Stage4B500k-2026-05-05T20-00-42Z-152,female,0.52,63,adult,CM,Cameroon,0.89
Stage4B500k-2026-05-05T20-00-42Z-153,male,0.53,64,adult,NG,Nigeria,0.90
Stage4B500k-2026-05-05T20-00-42Z-154,female,0.54,65,adult,GH,Ghana,0.91
Stage4B500k-2026-05-05T20-00-42Z-155,male,0.55,66,adult,KE,Kenya,0.92
Stage4B500k-2026-05-05T20-00-42Z-156,female,0.56,67,adult,ZA,South Africa,0.93
Stage4B500k-2026-05-05T20-00-42Z-157,male,0.57,68,adult,UG,Uganda,0.94
Stage4B500k-2026-05-05T20-00-42Z-158,female,0.58,69,adult,TZ,Tanzania,0.95
Stage4B500k-2026-05-05T20-00-42Z-159,male,0.59,70,adult,SN,Senegal,0.96
Stage4B500k-2026-05-05T20-00-42Z-160,female,0.60,18,adult,CM,Cameroon,0.97
Stage4B500k-2026-05-05T20-00-42Z-161,male,0.61,19,adult,NG,Nigeria,0.98
Stage4B500k-2026-05-05T20-00-42Z-162,female,0.62,20,adult,GH,Ghana,0.99
Stage4B500k-2026-05-05T20-00-42Z-163,male,0.63,21,adult,KE,Kenya,1.00
Stage4B500k-2026-05-05T20-00-42Z-164,female,0.64,22,adult,ZA,South Africa,0.01
Stage4B500k-2026-05-05T20-00-42Z-165,male,0.65,23,adult,UG,Uganda,0.02
Stage4B500k-2026-05-05T20-00-42Z-166,female,0.66,24,adult,TZ,Tanzania,0.03
Stage4B500k-2026-05-05T20-00-42Z-167,male,0.67,25,adult,SN,Senegal,0.04
Stage4B500k-2026-05-05T20-00-42Z-168,female,0.68,26,adult,CM,Cameroon,0.05
Stage4B500k-2026-05-05T20-00-42Z-169,male,0.69,27,adult,NG,Nigeria,0.06
Stage4B500k-2026-05-05T20-00-42Z-170,female,0.70,28,adult,GH,Ghana,0.07
Stage4B500k-2026-05-05T20-00-42Z-171,male,0.71,29,adult,KE,Kenya,0.08
Stage4B500k-2026-05-05T20-00-42Z-172,female,0.72,30,adult,ZA,South Africa,0.09
Stage4B500k-2026-05-05T20-00-42Z-173,male,0.73,31,adult,UG,Uganda,0.10
Stage4B500k-2026-05-05T20-00-42Z-174,female,0.74,32,adult,TZ,Tanzania,0.11
Stage4B500k-2026-05-05T20-00-42Z-175,male,0.75,33,adult,SN,Senegal,0.12
Stage4B500k-2026-05-05T20-00-42Z-176,female,0.76,34,adult,CM,Cameroon,0.13
Stage4B500k-2026-05-05T20-00-42Z-177,male,0.77,35,adult,NG,Nigeria,0.14
Stage4B500k-2026-05-05T20-00-42Z-178,female,0.78,36,adult,GH,Ghana,0.15
Stage4B500k-2026-05-05T20-00-42Z-179,male,0.79,37,adult,KE,Kenya,0.16
Stage4B500k-2026-05-05T20-00-42Z-180,female,0.80,38,adult,ZA,South Africa,0.17
Stage4B500k-2026-05-05T20-00-42Z-181,male,0.81,39,adult,UG,Uganda,0.18
Stage4B500k-2026-05-05T20-00-42Z-182,female,0.82,40,adult,TZ,Tanzania,0.19
Stage4B500k-2026-05-05T20-00-42Z-183,male,0.83,41,adult,SN,Senegal,0.20
Stage4B500k-2026-05-05T20-00-42Z-184,female,0.84,42,adult,CM,Cameroon,0.21
Stage4B500k-2026-05-05T20-00-42Z-185,male,0.85,43,adult,NG,Nigeria,0.22
Stage4B500k-2026-05-05T20-00-42Z-186,female,0.86,44,adult,GH,Ghana,0.23
Stage4B500k-2026-05-05T20-00-42Z-187,male,0.87,45,adult,KE,Kenya,0.24
Stage4B500k-2026-05-05T20-00-42Z-188,female,0.88,46,adult,ZA,South Africa,0.25
Stage4B500k-2026-05-05T20-00-42Z-189,male,0.89,47,adult,UG,Uganda,0.26
Stage4B500k-2026-05-05T20-00-42Z-190,female,0.90,48,adult,TZ,Tanzania,0.27
Stage4B500k-2026-05-05T20-00-42Z-191,male,0.91,49,adult,SN,Senegal,0.28
Stage4B500k-2026-05-05T20-00-42Z-192,female,0.92,50,adult,CM,Cameroon,0.29
Stage4B500k-2026-05-05T20-00-42Z-193,male,0.93,51,adult,NG,Nigeria,0.30
Stage4B500k-2026-05-05T20-00-42Z-194,female,0.94,52,adult,GH,Ghana,0.31
Stage4B500k-2026-05-05T20-00-42Z-195,male,0.95,53,adult,KE,Kenya,0.32
Stage4B500k-2026-05-05T20-00-42Z-196,female,0.96,54,adult,ZA,South Africa,0.33
Stage4B500k-2026-05-05T20-00-42Z-197,male,0.97,55,adult,UG,Uganda,0.34
Stage4B500k-2026-05-05T20-00-42Z-198,female,0.98,56,adult,TZ,Tanzania,0.35
Stage4B500k-2026-05-05T20-00-42Z-199,male,0.99,57,adult,SN,Senegal,0.36
Stage4B500k-2026-05-05T20-00-42Z-200,female,1.00,58,adult,CM,Cameroon,0.37
Stage4B500k-2026-05-05T20-00-42Z-201,male,0.01,59,adult,NG,Nigeria,0.38
Stage4B500k-2026-05-05T20-00-42Z-202,female,0.02,60,adult,GH,Ghana,0.39
Stage4B500k-2026-05-05T20-00-42Z-203,male,0.03,61,adult,KE,Kenya,0.40
Stage4B500k-2026-05-05T20-00-42Z-204,female,0.04,62,adult,ZA,South Africa,0.41
Stage4B500k-2026-05-05T20-00-42Z-205,male,0.05,63,adult,UG,Uganda,0.42
Stage4B500k-2026-05-05T20-00-42Z-206,female,0.06,64,adult,TZ,Tanzania,0.43
Stage4B500k-2026-05-05T20-00-42Z-207,male,0.07,65,adult,SN,Senegal,0.44
Stage4B500k-2026-05-05T20-00-42Z-208,female,0.08,66,adult,CM,Cameroon,0.45
Stage4B500k-2026-05-05T20-00-42Z-209,male,0.09,67,adult,NG,Nigeria,0.46
Stage4B500k-2026-05-05T20-00-42Z-210,female,0.10,68,adult,GH,Ghana,0.47
Stage4B500k-2026-05-05T20-00-42Z-211,male,0.11,69,adult,KE,Kenya,0.48
Stage4B500k-2026-05-05T20-00-42Z-212,female,0.12,70,adult,ZA,South Africa,0.49
Stage4B500k-2026-05-05T20-00-42Z-213,male,0.13,18,adult,UG,Uganda,0.50
Stage4B500k-2026-05-05T20-00-42Z-214,female,0.14,19,adult,TZ,Tanzania,0.51
Stage4B500k-2026-05-05T20-00-42Z-215,male,0.15,20,adult,SN,Senegal,0.52
Stage4B500k-2026-05-05T20-00-42Z-216,female,0.16,21,adult,CM,Cameroon,0.53
Stage4B500k-2026-05-05T20-00-42Z-217,male,0.17,22,adult,NG,Nigeria,0.54
Stage4B500k-2026-05-05T20-00-42Z-218,female,0.18,23,adult,GH,Ghana,0.55
Stage4B500k-2026-05-05T20-00-42Z-219,male,0.19,24,adult,KE,Kenya,0.56
Stage4B500k-2026-05-05T20-00-42Z-220,female,0.20,25,adult,ZA,South Africa,0.57
Stage4B500k-2026-05-05T20-00-42Z-221,male,0.21,26,adult,UG,Uganda,0.58
Stage4B500k-2026-05-05T20-00-42Z-222,female,0.22,27,adult,TZ,Tanzania,0.59
Stage4B500k-2026-05-05T20-00-42Z-223,male,0.23,28,adult,SN,Senegal,0.60
Stage4B500k-2026-05-05T20-00-42Z-224,female,0.24,29,adult,CM,Cameroon,0.61
Stage4B500k-2026-05-05T20-00-42Z-225,male,0.25,30,adult,NG,Nigeria,0.62
Stage4B500k-2026-05-05T20-00-42Z-226,female,0.26,31,adult,GH,Ghana,0.63
Stage4B500k-2026-05-05T20-00-42Z-227,male,0.27,32,adult,KE,Kenya,0.64
Stage4B500k-2026-05-05T20-00-42Z-228,female,0.28,33,adult,ZA,South Africa,0.65
Stage4B500k-2026-05-05T20-00-42Z-229,male,0.29,34,adult,UG,Uganda,0.66
Stage4B500k-2026-05-05T20-00-42Z-230,female,0.30,35,adult,TZ,Tanzania,0.67
Stage4B500k-2026-05-05T20-00-42Z-231,male,0.31,36,adult,SN,Senegal,0.68
Stage4B500k-2026-05-05T20-00-42Z-232,female,0.32,37,adult,CM,Cameroon,0.69
Stage4B500k-2026-05-05T20-00-42Z-233,male,0.33,38,adult,NG,Nigeria,0.70
Stage4B500k-2026-05-05T20-00-42Z-234,female,0.34,39,adult,GH,Ghana,0.71
Stage4B500k-2026-05-05T20-00-42Z-235,male,0.35,40,adult,KE,Kenya,0.72
Stage4B500k-2026-05-05T20-00-42Z-236,female,0.36,41,adult,ZA,South Africa,0.73
Stage4B500k-2026-05-05T20-00-42Z-237,male,0.37,42,adult,UG,Uganda,0.74
Stage4B500k-2026-05-05T20-00-42Z-238,female,0.38,43,adult,TZ,Tanzania,0.75
Stage4B500k-2026-05-05T20-00-42Z-239,male,0.39,44,adult,SN,Senegal,0.76
Stage4B500k-2026-05-05T20-00-42Z-240,female,0.40,45,adult,CM,Cameroon,0.77
Stage4B500k-2026-05-05T20-00-42Z-241,male,0.41,46,adult,NG,Nigeria,0.78
Stage4B500k-2026-05-05T20-00-42Z-242,female,0.42,47,adult,GH,Ghana,0.79
Stage4B500k-2026-05-05T20-00-42Z-243,male,0.43,48,adult,KE,Kenya,0.80
Stage4B500k-2026-05-05T20-00-42Z-244,female,0.44,49,adult,ZA,South Africa,0.81
Stage4B500k-2026-05-05T20-00-42Z-245,male,0.45,50,adult,UG,Uganda,0.82
Stage4B500k-2026-05-05T20-00-42Z-246,female,0.46,51,adult,TZ,Tanzania,0.83
Stage4B500k-2026-05-05T20-00-42Z-247,male,0.47,52,adult,SN,Senegal,0.84
Stage4B500k-2026-05-05T20-00-42Z-248,female,0.48,53,adult,CM,Cameroon,0.85
Stage4B500k-2026-05-05T20-00-42Z-249,male,0.49,54,adult,NG,Nigeria,0.86
Stage4B500k-2026-05-05T20-00-42Z-250,female,0.50,55,adult,GH,Ghana,0.87
Stage4B500k-2026-05-05T20-00-42Z-251,male,0.51,56,adult,KE,Kenya,0.88
Stage4B500k-2026-05-05T20-00-42Z-252,female,0.52,57,adult,ZA,South Africa,0.89
Stage4B500k-2026-05-05T20-00-42Z-253,male,0.53,58,adult,UG,Uganda,0.90
Stage4B500k-2026-05-05T20-00-42Z-254,female,0.54,59,adult,TZ,Tanzania,0.91
Stage4B500k-2026-05-05T20-00-42Z-255,male,0.55,60,adult,SN,Senegal,0.92
Stage4B500k-2026-05-05T20-00-42Z-256,female,0.56,61,adult,CM,Cameroon,0.93
Stage4B500k-2026-05-05T20-00-42Z-257,male,0.57,62,adult,NG,Nigeria,0.94
Stage4B500k-2026-05-05T20-00-42Z-258,female,0.58,63,adult,GH,Ghana,0.95
Stage4B500k-2026-05-05T20-00-42Z-259,male,0.59,64,adult,KE,Kenya,0.96
Stage4B500k-2026-05-05T20-00-42Z-260,female,0.60,65,adult,ZA,South Africa,0.97
Stage4B500k-2026-05-05T20-00-42Z-261,male,0.61,66,adult,UG,Uganda,0.98
Stage4B500k-2026-05-05T20-00-42Z-262,female,0.62,67,adult,TZ,Tanzania,0.99
Stage4B500k-2026-05-05T20-00-42Z-263,male,0.63,68,adult,SN,Senegal,1.00
Stage4B500k-2026-05-05T20-00-42Z-264,female,0.64,69,adult,CM,Cameroon,0.01
Stage4B500k-2026-05-05T20-00-42Z-265,male,0.65,70,adult,NG,Nigeria,0.02
Stage4B500k-2026-05-05T20-00-42Z-266,female,0.66,18,adult,GH,Ghana,0.03
Stage4B500k-2026-05-05T20-00-42Z-267,male,0.67,19,adult,KE,Kenya,0.04
Stage4B500k-2026-05-05T20-00-42Z-268,female,0.68,20,adult,ZA,South Africa,0.05
Stage4B500k-2026-05-05T20-00-42Z-269,male,0.69,21,adult,UG,Uganda,0.06
Stage4B500k-2026-05-05T20-00-42Z-270,female,0.70,22,adult,TZ,Tanzania,0.07
Stage4B500k-2026-05-05T20-00-42Z-271,male,0.71,23,adult,SN,Senegal,0.08
Stage4B500k-2026-05-05T20-00-42Z-272,female,0.72,24,adult,CM,Cameroon,0.09
Stage4B500k-2026-05-05T20-00-42Z-273,male,0.73,25,adult,NG,Nigeria,0.10
Stage4B500k-2026-05-05T20-00-42Z-274,female,0.74,26,adult,GH,Ghana,0.11
Stage4B500k-2026-05-05T20-00-42Z-275,male,0.75,27,adult,KE,Kenya,0.12
Stage4B500k-2026-05-05T20-00-42Z-276,female,0.76,28,adult,ZA,South Africa,0.13
Stage4B500k-2026-05-05T20-00-42Z-277,male,0.77,29,adult,UG,Uganda,0.14
Stage4B500k-2026-05-05T20-00-42Z-278,female,0.78,30,adult,TZ,Tanzania,0.15
Stage4B500k-2026-05-05T20-00-42Z-279,male,0.79,31,adult,SN,Senegal,0.16
Stage4B500k-2026-05-05T20-00-42Z-280,female,0.80,32,adult,CM,Cameroon,0.17
Stage4B500k-2026-05-05T20-00-42Z-281,male,0.81,33,adult,NG,Nigeria,0.18
Stage4B500k-2026-05-05T20-00-42Z-282,female,0.82,34,adult,GH,Ghana,0.19
Stage4B500k-2026-05-05T20-00-42Z-283,male,0.83,35,adult,KE,Kenya,0.20
Stage4B500k-2026-05-05T20-00-42Z-284,female,0.84,36,adult,ZA,South Africa,0.21
Stage4B500k-2026-05-05T20-00-42Z-285,male,0.85,37,adult,UG,Uganda,0.22
Stage4B500k-2026-05-05T20-00-42Z-286,female,0.86,38,adult,TZ,Tanzania,0.23
